Layer,M,N,K,Active_Pairs,Bottleneck,GEMM_Time_ms,Gather_GEMM_Ratio,Gather_Time_ms,Kernel_Size,Num_MACs,Total_Time_ms
stem,600000,64,108,600000,memory_gather,0.10368,8.064516129032258,0.8361290322580646,3,4147200000,0.9398090322580644
large_kernel_stage_1_k5,3100000,96,8000,3100000,memory_gather,59.52,5.376344086021505,320.0,5,2380800000000,379.52000000000004
large_kernel_stage_2_k7,8500000,128,32928,8500000,memory_gather,895.6416,4.032258064516129,3611.458064516129,7,35825664000000,4507.099664516129
large_kernel_stage_3_k9,18200000,192,93312,18200000,memory_gather,8151.736319999999,2.688172043010753,21913.269677419354,9,326069452800000,30065.005997419354
large_kernel_stage_4_k7,8500000,256,65856,8500000,memory_gather,3582.5664,2.0161290322580645,7222.916129032258,7,143302656000000,10805.482529032257
decoder_stage_1_k5,3100000,192,32000,3100000,memory_gather,476.16,2.6881720430107525,1280.0,5,19046400000000,1756.1599999999999
decoder_stage_2_k3,600000,128,5184,600000,memory_gather,9.95328,4.032258064516129,40.134193548387096,3,398131200000,50.0874735483871
decoder_stage_3_k3,600000,64,3456,600000,memory_gather,3.31776,8.064516129032258,26.756129032258066,3,132710400000,30.073889032258062
classification_head,100000,20,64,100000,memory_gather,0.0031999999999999997,25.806451612903224,0.08258064516129032,1,128000000,0.08578064516129032
