Layer,M,N,K,Active_Pairs,Bottleneck,GEMM_Time_ms,Gather_GEMM_Ratio,Gather_Time_ms,Kernel_Size,Num_MACs,Total_Time_ms
stem_conv1,500000,32,4,500000,memory_gather,0.0015999999999999999,16.129032258064516,0.025806451612903226,3,64000000,0.027406451612903223
stem_conv2,500000,32,32,500000,memory_gather,0.012799999999999999,16.129032258064516,0.2064516129032258,3,512000000,0.21925161290322578
spvnas_block_1,500000,48,32,500000,memory_gather,0.0192,10.752688172043012,0.2064516129032258,3,768000000,0.2256516129032258
spvnas_block_2,500000,64,48,500000,memory_gather,0.0384,8.06451612903226,0.3096774193548387,3,1536000000,0.34807741935483877
spvnas_block_3,500000,128,64,500000,memory_gather,0.10239999999999999,4.032258064516129,0.4129032258064516,3,4096000000,0.5153032258064516
spvnas_block_4,500000,256,128,500000,memory_gather,0.40959999999999996,2.0161290322580645,0.8258064516129032,3,16384000000,1.2354064516129033
decoder_stage_1,500000,128,256,500000,memory_gather,0.40959999999999996,4.032258064516129,1.6516129032258065,3,16384000000,2.0612129032258064
decoder_stage_2,500000,64,128,500000,memory_gather,0.10239999999999999,8.064516129032258,0.8258064516129032,3,4096000000,0.9282064516129032
decoder_stage_3,500000,32,64,500000,memory_gather,0.025599999999999998,16.129032258064516,0.4129032258064516,3,1024000000,0.43850322580645157
point_classification,100000,20,32,100000,memory_gather,0.0015999999999999999,25.806451612903224,0.04129032258064516,1,64000000,0.04289032258064516
